#{"t_start": 1758583306.6456592, "env_id": "None"}
r,l,t
2.15,35,63.0642
2.12,38,63.139764
2.13,37,63.205909
2.09,41,63.278752
2.15,35,63.341179
2.15,35,63.403352
2.16,34,63.461856
2.16,34,63.519893
2.16,34,63.577945
2.14,36,63.639417
2.14,36,63.701352
2.12,38,63.765225
2.16,34,64.289169
2.15,35,64.348411
2.13,37,64.418646
2.11,39,64.489809
2.15,35,64.551226
2.14,36,64.613243
2.15,35,64.674598
2.12,38,64.743209
2.16,34,64.802354
2.15,35,64.861805
2.16,34,64.92084
2.15,35,64.981341
2.15,35,65.041736
2.15,35,65.101428
2.16,34,65.159014
2.14,36,65.22576
2.15,35,65.287024
2.15,35,65.346259
2.16,34,65.405004
2.15,35,65.464768
2.15,35,65.524537
2.16,34,65.582781
2.16,34,65.640543
2.16,34,65.69967
2.16,34,65.757405
2.15,35,65.818727
2.15,35,65.877791
2.1,40,65.951723
2.15,35,66.013161
2.15,35,66.562613
2.15,35,66.622778
2.16,34,66.681404
2.15,35,66.742693
2.16,34,66.800781
2.15,35,66.863207
2.14,36,66.929692
2.15,35,66.989862
2.15,35,67.050371
2.14,36,67.111927
2.13,37,67.176425
2.15,35,67.237026
2.1,40,67.310296
2.16,34,67.371249
2.14,36,67.435202
2.15,35,67.496683
2.1,40,67.565162
2.16,34,67.62435
2.15,35,67.683978
2.14,36,67.745177
2.16,34,67.80801
2.16,34,67.872016
2.15,35,67.934695
2.16,34,67.995837
2.13,37,68.062628
2.15,35,68.126082
2.16,34,68.187722
2.16,34,68.248874
2.15,35,68.311798
2.12,38,69.38483
2.14,36,69.451919
2.15,35,69.514783
2.14,36,69.579396
2.15,35,69.63921
2.12,38,69.705306
2.14,36,69.768071
2.16,34,69.826949
2.15,35,69.886851
2.15,35,69.947638
2.16,34,70.008409
2.15,35,70.072435
2.16,34,70.130333
2.15,35,70.190339
2.15,35,70.256826
2.14,36,70.321301
2.15,35,70.380408
2.14,36,70.445096
2.16,34,70.505017
2.15,35,70.569277
2.15,35,70.629956
2.16,34,70.687821
2.14,36,70.748817
2.16,34,70.806999
2.15,35,70.871485
2.14,36,70.935892
2.14,36,71.001232
2.16,34,71.06429
2.14,36,71.127237
2.14,36,71.659917
2.16,34,71.717828
2.16,34,71.775684
2.16,34,71.839409
2.16,34,71.897601
2.16,34,71.956029
2.16,34,72.014449
2.16,34,72.073253
2.16,34,72.133771
2.15,35,72.289345
2.15,35,72.351491
2.15,35,72.412668
2.15,35,72.473135
2.13,37,72.540751
2.16,34,72.600093
2.12,38,72.665746
2.15,35,72.726841
2.14,36,72.790098
2.16,34,72.847794
2.16,34,72.909118
2.15,35,72.97021
2.16,34,73.028726
2.15,35,73.088861
2.15,35,73.149594
2.16,34,73.210744
1.68,82,73.359396
2.16,34,73.459492
2.16,34,73.520305
2.15,35,74.165318
2.15,35,74.229473
2.15,35,74.294808
2.16,34,74.355012
2.16,34,74.418732
2.15,35,74.481483
2.16,34,74.541554
2.1,40,74.615672
2.16,34,74.67929
2.16,34,74.738641
2.16,34,74.799743
2.15,35,74.86018
2.16,34,74.918266
2.14,36,74.980484
2.15,35,75.043595
2.16,34,75.244206
2.14,36,75.339239
2.15,35,75.403622
2.14,36,75.471678
2.16,34,75.531426
2.16,34,75.59362
2.15,35,75.663767
2.15,35,75.729715
2.14,36,75.796571
2.15,35,75.864041
2.15,35,75.935719
2.14,36,75.999863
2.16,34,76.060947
2.16,34,76.137191
2.16,34,76.213043
2.16,34,76.897897
2.16,34,76.956107
2.16,34,77.014565
2.16,34,77.072885
2.15,35,77.133442
2.16,34,77.192174
2.15,35,77.253177
2.16,34,77.31181
2.16,34,77.369359
2.16,34,77.429307
2.16,34,77.489092
2.15,35,77.553089
2.16,34,77.613965
2.15,35,77.6726
2.16,34,77.732234
2.16,34,77.79605
2.16,34,77.856671
2.16,34,77.917625
2.16,34,77.979076
2.16,34,78.036866
2.16,34,78.09531
2.16,34,78.154198
2.16,34,78.213155
2.16,34,78.27244
2.16,34,78.331751
2.16,34,78.390136
2.16,34,78.44878
2.16,34,78.507235
2.16,34,78.566741
2.15,35,78.627
2.16,34,79.177128
2.14,36,79.241956
2.16,34,79.303629
2.15,35,79.364446
2.16,34,79.42267
2.15,35,79.482347
2.16,34,79.539955
2.15,35,79.600478
2.16,34,79.658542
2.14,36,79.721264
2.16,34,79.78202
2.16,34,80.030611
2.15,35,80.092715
2.16,34,80.151683
2.13,37,80.218086
2.15,35,80.280071
2.14,36,80.344431
2.16,34,80.403212
2.13,37,80.467312
2.16,34,80.526363
2.16,34,80.58533
2.16,34,80.644585
2.15,35,80.707743
2.16,34,80.768283
2.16,34,80.829349
2.16,34,80.887806
2.16,34,80.948311
2.15,35,81.014391
2.15,35,81.076125
2.16,34,81.60497
2.13,37,81.675076
2.16,34,81.733811
2.16,34,81.792804
2.16,34,81.850438
2.16,34,81.909059
2.16,34,81.966738
2.15,35,82.032049
2.16,34,82.090156
2.16,34,82.14812
2.1,40,82.218361
2.16,34,82.27876
2.14,36,82.343369
2.16,34,82.401369
2.16,34,82.460434
2.16,34,82.518391
2.15,35,82.578352
2.16,34,82.635546
2.16,34,82.695856
2.16,34,82.758231
2.16,34,82.822604
2.16,34,82.885522
2.14,36,82.949254
2.14,36,83.012537
2.16,34,83.083076
2.16,34,83.143872
2.16,34,83.206356
2.16,34,83.26837
2.16,34,83.331189
2.16,34,83.480947
2.16,34,84.020996
2.15,35,84.083129
2.14,36,84.256786
2.16,34,84.31976
2.15,35,84.379906
2.16,34,84.441025
2.16,34,84.499503
2.16,34,84.560664
2.16,34,84.620792
2.16,34,84.67877
2.16,34,84.739116
2.16,34,84.805349
2.16,34,84.867692
2.16,34,84.932163
2.15,35,84.997835
2.16,34,85.059692
2.16,34,85.124737
2.16,34,85.185137
2.16,34,85.251159
2.16,34,85.310624
2.16,34,85.372304
2.16,34,85.437707
2.15,35,85.502272
2.16,34,85.56396
2.15,35,85.628419
2.16,34,85.688105
2.16,34,85.74658
2.16,34,85.805404
2.14,36,85.869045
2.16,34,85.927646
2.16,34,86.476148
2.16,34,86.536336
2.16,34,86.600124
2.16,34,86.661958
2.15,35,86.725139
2.15,35,86.787853
2.15,35,86.84847
2.16,34,86.908442
2.16,34,86.96784
2.16,34,87.0263
2.16,34,87.085592
2.16,34,87.146111
2.16,34,87.203817
2.15,35,87.268333
2.16,34,87.334008
2.16,34,87.392035
2.16,34,87.45262
2.16,34,87.514019
2.16,34,87.575886
2.16,34,87.636405
2.14,36,87.698753
2.16,34,87.757567
2.16,34,87.815098
2.16,34,87.872013
2.13,37,87.935982
2.16,34,87.994216
2.16,34,88.055357
2.16,34,88.116525
2.16,34,88.177398
2.16,34,88.630667
2.15,35,88.693158
2.15,35,88.75409
2.12,38,88.820199
2.15,35,88.883401
2.11,39,88.956883
2.14,36,89.022774
2.1,40,89.095112
2.13,37,89.16468
2.11,39,89.232778
2.07,43,89.307385
2.16,34,89.368376
2.1,40,89.440263
2.16,34,89.498049
2.05,45,89.576514
2.14,36,89.637974
2.08,42,89.710868
2.05,45,89.787655
2.11,39,89.854762
2.1,40,89.923798
2.02,48,90.012372
2.14,36,90.076505
2.12,38,90.142765
2.14,36,90.206322
2.14,36,90.270768
2.1,40,90.340442
2.09,41,90.414779
2.15,35,91.104537
2.12,38,91.172961
2.14,36,91.237918
2.07,43,91.516622
2.15,35,91.585396
2.1,40,91.660516
2.13,37,91.725524
2.16,34,91.787649
2.1,40,91.860505
2.14,36,91.92446
2.15,35,91.989106
2.16,34,92.05166
2.11,39,92.125724
2.13,37,92.193799
2.15,35,92.259737
2.15,35,92.325914
2.15,35,92.391226
2.14,36,92.459969
2.15,35,92.568304
2.13,37,92.645183
2.1,40,92.72364
2.16,34,92.789788
2.14,36,92.861712
2.16,34,92.92659
2.15,35,92.992395
2.1,40,93.069227
2.15,35,93.136415
2.09,41,93.210983
2.15,35,93.755142
2.16,34,93.814875
2.15,35,93.874508
2.13,37,93.938662
2.14,36,94.002294
2.14,36,94.064946
2.13,37,94.129493
2.16,34,94.188672
2.13,37,94.252882
2.14,36,94.315245
2.12,38,94.380967
2.16,34,94.440171
2.09,41,94.510298
2.16,34,94.574783
2.14,36,94.635856
2.11,39,94.707197
2.15,35,94.768201
2.14,36,94.830106
2.12,38,94.896329
2.15,35,94.958101
2.13,37,95.022097
2.16,34,95.082312
2.14,36,95.1444
2.13,37,95.209172
2.15,35,95.269803
2.14,36,95.331887
2.16,34,95.389683
2.15,35,95.450466
2.13,37,96.072437
2.11,39,96.139068
2.15,35,98.780306
2.15,35,98.846657
2.16,34,98.90699
2.15,35,98.969092
2.14,36,99.0381
2.15,35,99.107942
2.16,34,99.176317
2.14,36,99.239724
2.16,34,99.304223
2.14,36,99.366272
2.13,37,99.432966
2.14,36,99.500063
2.14,36,99.566401
2.16,34,99.6266
2.16,34,99.684825
2.16,34,99.74412
2.11,39,99.811766
2.16,34,99.909215
2.14,36,100.005386
2.15,35,100.067513
2.14,36,100.132976
2.12,38,100.201581
2.16,34,100.263741
2.16,34,100.325605
2.14,36,100.39004
2.16,34,100.450478
2.16,34,100.514056
2.16,34,101.070784
2.15,35,101.134917
2.15,35,101.196627
2.16,34,101.255068
2.15,35,101.315609
2.12,38,101.380785
2.16,34,101.442241
2.16,34,101.518555
2.15,35,101.61057
2.15,35,101.673301
2.16,34,101.734159
2.16,34,101.793782
2.16,34,101.856455
2.14,36,101.921273
2.13,37,101.987957
2.16,34,102.051757
2.1,40,102.124933
2.16,34,102.188318
2.16,34,102.248958
2.15,35,102.317188
2.16,34,102.380773
2.16,34,102.442437
2.15,35,102.507652
2.15,35,102.578598
2.16,34,102.638895
2.14,36,102.702574
2.14,36,102.971019
2.16,34,103.034088
2.14,36,103.096732
2.16,34,103.161544
2.11,39,103.835948
2.16,34,103.893634
2.16,34,103.953936
2.16,34,104.016926
2.12,38,104.085644
2.15,35,104.145098
2.16,34,104.203203
2.16,34,104.263115
2.16,34,104.326627
2.16,34,104.387076
2.16,34,104.445319
2.15,35,104.508574
2.16,34,104.570248
2.15,35,104.63185
2.16,34,104.690988
2.15,35,104.752182
2.16,34,104.907639
2.16,34,104.984031
2.15,35,105.047546
2.16,34,105.10846
2.16,34,105.166436
2.16,34,105.226214
2.16,34,105.28413
2.14,36,105.34663
2.16,34,105.405793
2.16,34,105.466441
2.16,34,105.529624
2.16,34,105.587713
2.16,34,105.645525
2.16,34,106.204224
2.16,34,106.264865
2.16,34,106.326547
2.16,34,106.385625
2.16,34,106.445165
2.15,35,106.507794
2.16,34,106.568527
2.16,34,106.631878
2.16,34,106.714708
2.16,34,106.780797
2.16,34,106.854556
2.16,34,106.933414
2.16,34,107.000416
2.16,34,107.072121
2.16,34,107.138199
2.16,34,107.202765
2.16,34,107.263197
2.16,34,107.322977
2.16,34,107.381121
2.16,34,107.443388
2.16,34,107.50445
2.16,34,107.566836
2.16,34,107.626649
2.16,34,107.684469
2.16,34,107.744648
2.16,34,107.802361
2.16,34,107.86011
2.16,34,107.918017
2.16,34,107.977451
2.16,34,108.036587
2.16,34,108.671952
2.15,35,108.734749
2.16,34,108.794379
2.16,34,108.854871
2.16,34,108.915688
2.16,34,108.977447
2.16,34,109.037089
2.16,34,109.096512
2.16,34,109.154701
2.16,34,109.216872
2.16,34,109.278639
2.16,34,109.340263
2.16,34,109.403803
2.16,34,109.465382
2.16,34,109.523255
2.16,34,109.582397
2.16,34,109.640075
2.16,34,109.69934
2.16,34,109.757209
2.16,34,109.818496
2.16,34,109.880019
2.16,34,109.940094
2.16,34,110.001207
2.16,34,110.062724
2.16,34,110.122003
2.16,34,110.181768
2.16,34,110.245848
2.14,36,110.312486
2.16,34,110.373723
2.16,34,110.438753
2.16,34,111.046136
2.16,34,111.112747
2.15,35,111.17732
2.16,34,111.236588
2.16,34,111.300011
2.16,34,111.376712
2.16,34,111.43794
2.16,34,111.500149
2.16,34,111.564095
2.16,34,111.627509
2.16,34,111.686567
2.16,34,111.746489
2.16,34,111.80471
2.16,34,111.863583
2.16,34,111.925251
2.16,34,111.985248
2.16,34,112.046065
2.16,34,112.104292
2.16,34,112.163878
2.16,34,112.222214
2.16,34,112.286174
2.16,34,112.349474
2.16,34,112.412109
2.16,34,112.471694
2.16,34,112.535679
2.16,34,112.593854
2.16,34,112.652094
2.16,34,112.711958
2.16,34,112.770452
2.16,34,113.025174
2.16,34,113.648491
2.16,34,113.708518
2.16,34,113.766565
2.16,34,113.82606
2.16,34,113.887459
2.16,34,113.946719
2.16,34,114.008858
2.15,35,114.070678
2.16,34,114.130577
2.16,34,114.190862
2.16,34,114.251784
2.16,34,114.312904
2.16,34,114.374611
2.16,34,114.441883
2.16,34,114.50483
2.16,34,114.565863
2.16,34,114.623917
2.16,34,114.681999
2.16,34,114.739987
2.16,34,114.797737
2.16,34,114.855644
2.16,34,114.913258
2.14,36,114.974195
2.16,34,115.032578
2.16,34,115.097778
2.16,34,115.155245
2.16,34,115.215619
2.08,42,115.287389
2.16,34,115.345592
2.16,34,115.405268
2.16,34,116.068584
2.16,34,116.126668
2.16,34,116.186269
2.16,34,116.244738
2.16,34,116.308198
2.16,34,116.368503
2.16,34,116.4299
2.16,34,116.491413
2.16,34,116.552072
2.16,34,116.614282
2.16,34,116.672504
2.16,34,116.733695
2.16,34,116.796575
2.16,34,116.854675
2.16,34,116.914576
2.14,36,116.976033
2.16,34,117.03639
2.16,34,117.094317
2.15,35,117.156649
2.16,34,117.217992
2.16,34,117.278767
2.16,34,117.33745
2.16,34,117.394625
2.16,34,117.452589
2.16,34,117.512257
2.16,34,117.585995
2.16,34,117.649834
2.16,34,117.711557
2.16,34,117.774272
2.16,34,117.840407
2.16,34,118.693787
2.16,34,118.753337
2.16,34,118.81346
2.16,34,118.87402
2.15,35,118.933713
2.16,34,118.99214
2.16,34,119.051071
2.16,34,119.109758
2.16,34,119.168159
2.16,34,119.230929
2.16,34,119.292595
2.16,34,119.351974
2.16,34,119.409968
2.16,34,119.467437
2.16,34,119.527209
2.16,34,119.587795
2.15,35,119.655391
2.16,34,119.717168
2.16,34,119.775115
2.16,34,119.833244
2.16,34,119.891556
2.16,34,119.949561
2.16,34,120.00849
2.16,34,120.071803
2.16,34,120.130358
2.16,34,120.190221
2.16,34,120.249951
2.16,34,120.307789
