#{"t_start": 1758580292.432392, "env_id": "None"}
r,l,t
-0.15,16,89.757803
-0.14,15,89.784668
-0.14,15,89.81139
-0.21,22,89.852874
-0.12,13,89.876381
-0.13,14,89.901418
-0.4,41,90.410871
-0.27,28,90.462644
-0.2,21,90.501201
-0.23,24,90.546671
-0.13,14,90.574114
-0.22,23,90.615746
-0.56,7,90.629317
-0.14,15,90.656947
-0.1,11,90.681612
-0.2,21,90.723162
-0.27,28,90.773867
-0.34,35,90.838607
-0.13,14,90.864179
-0.52,3,90.869667
-0.53,4,90.877481
-0.12,13,90.901189
-0.17,18,90.936321
-0.33,34,90.999018
-0.55,6,91.011022
-0.2,21,91.050446
-0.24,25,91.095853
-0.23,24,91.139763
-0.09,10,91.158811
-0.11,12,91.180682
-0.3,31,91.237448
-0.31,32,91.295623
-0.2,21,91.336883
-0.2,21,91.376667
-0.24,25,91.429227
-0.22,23,91.47316
-0.28,29,91.53085
-0.18,19,91.565629
-0.17,18,91.598991
-0.2,21,91.638563
-0.98,99,91.826202
-0.12,13,91.850286
-0.51,2,91.854102
-0.18,19,91.888903
-0.38,39,91.960362
-0.52,3,91.965743
-0.27,28,92.016519
-0.11,12,92.038253
-0.06,7,92.050892
-0.13,14,92.076568
-0.22,23,92.118363
-0.55,6,92.129339
-0.43,44,92.20868
-0.5,1,92.210537
-0.8,81,92.911276
-0.15,16,92.941801
-0.53,4,92.949329
-0.34,35,93.013361
-0.19,20,93.050394
-0.53,4,93.058916
-0.16,17,93.092347
-0.1,11,93.113453
-0.41,42,93.190728
-0.11,12,93.214766
-0.17,18,93.248264
-0.09,10,93.266495
-0.14,15,93.294573
-0.34,35,93.358355
-0.2,21,93.396669
-0.14,15,93.425235
-0.13,14,93.45113
-0.5,51,93.544035
-0.18,19,93.578121
-0.19,20,93.614381
-0.22,23,93.656668
-0.16,17,93.68749
-0.46,47,93.774677
-0.13,14,93.800149
-0.78,79,93.947902
-0.36,37,94.014302
-0.24,25,94.059243
-0.18,19,94.093678
-0.63,64,94.209361
-0.29,30,94.263986
-0.52,3,94.269686
-0.51,2,94.273554
-0.23,24,94.317825
-0.25,26,94.365713
-0.16,17,94.396699
-0.05,6,94.40784
-0.15,16,94.436892
-0.1,11,94.456486
-0.13,14,94.482354
-0.26,27,94.532157
-0.16,17,94.562369
-0.31,32,94.621191
-0.17,18,94.653872
-0.3,31,94.710032
-0.38,39,95.368206
-0.33,34,95.430128
-0.42,43,95.537344
-0.06,7,95.550704
-0.13,14,95.577284
-0.07,8,95.593667
-0.12,13,95.618912
-0.09,10,95.639864
-0.11,12,95.665878
-0.14,15,95.693899
-0.27,28,95.744962
-0.12,13,95.768349
-0.16,17,95.800571
-0.17,18,95.833922
-0.13,14,95.860058
-0.23,24,95.906369
-0.18,19,95.946
-0.22,23,95.989337
-0.26,27,96.038309
-0.33,34,96.100727
-0.14,15,96.128473
-0.35,36,96.205267
-0.22,23,96.255488
-0.06,7,96.270651
-0.1,11,96.292884
-0.11,12,96.317496
-0.12,13,96.3443
-0.1,11,96.36745
-0.09,10,96.386555
-0.4,41,96.467471
-0.11,12,96.491428
-0.06,7,96.505459
-0.14,15,96.534918
-0.14,15,96.563632
-0.19,20,96.602313
-0.09,10,96.621067
-0.55,6,96.632473
-0.18,19,96.669119
-0.13,14,96.698006
-0.29,30,96.756178
-0.16,17,96.788206
-0.21,22,96.829853
-0.08,9,96.846844
-0.25,26,96.896624
-0.24,25,96.946447
-0.07,8,96.9637
-0.18,19,97.001319
-0.21,22,97.04303
-0.12,13,97.067851
-0.53,4,97.075337
-0.1,11,97.095413
-0.13,14,97.120823
-0.11,12,97.143204
-0.19,20,97.18155
-0.2,21,97.219775
-0.5,1,97.22174
-0.33,34,97.283683
-0.21,22,97.323627
-0.17,18,97.795726
-0.16,17,97.827527
-0.14,15,97.855162
-0.29,30,97.91038
-0.27,28,97.962287
-0.2,21,98.004359
-0.07,8,98.021267
-0.08,9,98.038639
-0.07,8,98.053434
-0.06,7,98.066223
-0.09,10,98.084401
-0.11,12,98.10616
-0.15,16,98.136025
-0.12,13,98.160178
-0.13,14,98.185746
-0.33,34,98.250596
-0.23,24,98.295018
-0.29,30,98.350898
-0.14,15,98.378375
-0.52,3,98.383718
-0.39,40,98.456685
-0.53,4,98.464384
-0.08,9,98.480562
-0.17,18,98.513454
-0.09,10,98.532495
-0.1,11,98.552645
-0.1,11,98.573017
-0.15,16,98.601863
-0.51,2,98.605525
-0.1,11,98.625208
-0.3,31,98.682662
-0.4,41,98.758028
-0.54,5,98.767395
-0.04,5,98.777438
-0.52,3,98.782994
-0.21,22,98.823228
-0.24,25,98.869049
-0.17,18,98.902296
-0.09,10,98.920499
-0.13,14,98.946232
-0.08,9,98.962791
-0.08,9,98.978946
-0.23,24,99.02278
-0.03,4,99.03009
-0.13,14,99.060442
-0.33,34,99.122721
-0.09,10,99.141043
-0.06,7,99.154047
-0.17,18,99.186884
-0.08,9,99.203034
-0.14,15,99.230888
-0.23,24,99.275179
-0.09,10,99.293573
-0.1,11,99.314536
-0.12,13,99.337789
-0.11,12,99.35975
-0.57,8,99.374199
-0.15,16,99.405007
-0.17,18,99.438547
-0.2,21,99.477804
-0.13,14,99.504318
-0.18,19,99.539525
-0.55,6,99.550373
-0.1,11,99.570545
-0.15,16,99.600069
-0.26,27,99.649971
-0.15,16,99.679535
-0.09,10,100.206692
-0.53,54,100.31145
-0.1,11,100.333964
-0.07,8,100.350424
-0.07,8,100.365808
-0.19,20,100.405169
-0.15,16,100.43591
-0.1,11,100.456175
-0.26,27,100.508469
-0.17,18,100.542622
-0.13,14,100.568674
-0.12,13,100.592612
-0.07,8,100.607475
-0.12,13,100.633663
-0.51,2,100.637956
-0.51,2,100.642552
-0.09,10,100.662142
-0.18,19,100.69688
-0.51,2,100.700795
-0.14,15,100.727584
-0.28,29,100.780939
-0.15,16,100.812249
-0.27,28,100.866149
-0.22,23,100.909329
-0.19,20,100.946498
-0.2,21,100.985837
-0.54,5,100.994715
-0.13,14,101.020828
-0.17,18,101.054928
-0.2,21,101.094376
-0.18,19,101.129344
-0.12,13,101.15626
-0.12,13,101.18278
-0.12,13,101.209348
-0.13,14,101.234969
-0.16,17,101.266599
-0.19,20,101.303426
-0.19,20,101.340003
-0.4,41,101.418301
-0.33,34,101.482731
-0.07,8,101.497559
-0.19,20,101.534799
-0.08,9,101.551381
-0.54,5,101.560434
-0.11,12,101.582287
-0.32,33,101.644223
-0.17,18,101.676632
-0.41,42,101.754242
-0.12,13,101.779242
-0.34,35,101.843411
-0.25,26,101.890774
-0.18,19,101.927604
-0.5,1,101.929572
-0.07,8,101.944474
-0.09,10,101.96274
-0.19,20,101.999939
-0.32,33,102.062167
-0.57,8,102.076674
-0.16,17,102.107993
-0.05,6,102.119351
-0.06,7,102.635342
-0.44,45,102.718256
-0.51,2,102.722563
-0.1,11,102.743475
-0.04,5,104.301977
-0.13,14,104.335505
-0.51,2,104.339534
-0.12,13,104.364855
-0.6,11,104.385782
-0.12,13,104.409536
-0.08,9,104.426435
-0.16,17,104.460115
-0.22,23,104.503704
-0.17,18,104.537508
-0.12,13,104.560769
-0.19,20,104.599071
-0.5,1,104.601017
-0.13,14,104.627668
-0.06,7,104.64153
-0.55,6,104.653641
-0.11,12,104.676143
-0.11,12,104.698381
-0.07,8,104.714138
-0.1,11,104.734708
-0.1,11,104.755041
-0.08,9,104.772202
-0.1,11,104.793725
-0.12,13,104.818709
-0.11,12,104.841672
-0.04,5,104.851803
-0.08,9,104.868465
-0.17,18,104.90328
-0.29,30,104.960188
-0.4,41,105.037328
-0.15,16,105.067514
-0.6,11,105.088036
-0.16,17,105.120427
-0.09,10,105.139585
-0.13,14,105.165102
-0.14,15,105.192864
-0.09,10,105.211462
-0.1,11,105.232178
-0.12,13,105.25651
-0.08,9,105.27329
-0.15,16,105.303091
-0.14,15,105.330395
-0.57,58,105.444407
-0.27,28,105.497643
-0.14,15,105.526976
-0.17,18,105.560651
-0.13,14,105.585828
-0.5,1,105.587885
-0.09,10,105.605896
-0.09,10,105.625358
-0.2,21,105.667328
-0.12,13,105.691932
-0.3,31,105.751454
-0.11,12,105.774271
-0.12,13,105.798663
-0.16,17,105.830284
-0.45,46,105.915238
-0.23,24,105.959504
-0.52,3,105.965044
-0.11,12,105.986871
-0.12,13,106.011178
-0.11,12,106.033338
-0.14,15,106.061713
-0.04,5,106.070923
-0.12,13,106.095796
-0.07,8,106.110774
-0.14,15,106.768286
-0.17,18,106.801167
-0.51,2,106.804724
-0.16,17,106.839386
-0.17,18,106.872733
-0.04,5,106.882125
-0.12,13,106.907404
-0.16,17,106.943535
-0.09,10,106.96591
-0.24,25,107.018199
-0.1,11,107.043962
-0.12,13,107.071871
-0.18,19,107.11478
-0.24,25,107.164871
-0.23,24,107.212707
-0.15,16,107.242572
-0.09,10,107.264367
-0.18,19,107.416651
-0.14,15,107.448409
-0.1,11,107.472669
-0.12,13,107.542545
-0.15,16,107.574934
-0.09,10,107.595789
-0.12,13,107.620899
-0.09,10,107.640719
-0.11,12,107.663434
-0.08,9,107.681273
-0.15,16,107.711696
-0.27,28,107.766619
-0.12,13,107.791835
-0.51,2,107.795708
-0.04,5,107.804884
-0.13,14,107.839121
-0.1,11,107.861481
-0.09,10,107.880488
-0.15,16,107.912259
-0.54,5,107.921974
-0.1,11,107.94522
-0.22,23,107.993413
-0.15,16,108.02428
-0.13,14,108.051229
-0.1,11,108.074217
-0.12,13,108.100714
-0.27,28,108.158626
-0.08,9,108.17909
-0.11,12,108.203063
-0.18,19,108.241954
-0.14,15,108.272869
-0.5,1,108.275169
-0.51,2,108.27965
