#{"t_start": 1758576410.4097598, "env_id": "None"}
r,l,t
1.6500002,85,16.196368
1.7800004,72,16.207726
-1.2999995,131,16.214992
1.19,131,16.253778
1.8200004,68,16.259097
-1.3399994,135,16.264439
1.5800003,92,16.267998
-0.66999984,68,16.282053
1.7900006,71,16.290985
1.9600005,54,16.294503
1.8300004,67,16.298032
1.7300001,77,16.31979
1.8300004,67,16.335864
1.6200004,88,16.342876
1.3500001,115,16.380962
1.8100004,69,16.387925
1.9200003,58,16.396539
1.0100006,149,16.426734
1.6000004,90,16.430333
1.5,100,16.433949
1.1000004,140,16.433991
1.5600001,94,16.451674
1.7500006,75,16.453516
1.5800003,92,16.46229
0.9200008,158,16.465919
1.6700006,83,16.490431
1.8400004,66,16.508381
1.0500003,145,16.521509
1.6300004,87,16.539271
1.8300004,67,16.548588
1.8200005,68,16.558214
1.2600001,124,16.56015
1.6900002,81,16.581647
1.7300004,77,16.592185
1.5900003,91,16.595757
1.6400003,86,16.612041
0.15000165,235,16.633802
1.5800003,92,16.66023
1.8400005,66,16.669022
0.94000065,156,16.681227
1.6700003,83,16.709076
1.1300004,137,16.716125
1.0900005,141,16.720198
1.8200004,68,16.720244
0.09000158,241,16.727398
1.6400003,86,16.738355
1.3400002,116,16.750705
1.6200004,88,16.770021
1.1200004,138,16.771855
-0.63999987,65,16.777132
1.2700002,123,16.782446
1.7900002,71,16.80864
1.5100003,99,16.810462
0.8200007,168,16.812294
1.6500005,85,16.823133
-0.6299999,64,16.836006
-0.8899998,90,16.878201
1.5800004,92,16.892162
1.7000005,80,16.914855
1.5800004,92,16.914894
-0.76999986,78,16.916725
1.6100004,89,16.928908
1.6900004,81,16.957502
1.7200005,78,16.962858
1.22,128,16.968307
-0.5199999,53,16.973726
1.0200005,148,16.975562
1.0200005,148,16.986218
1.5300002,97,16.988067
1.6400003,86,16.989909
1.3200002,118,17.021281
1.8400004,66,17.035513
-0.059997916,256,17.055224
1.7600005,74,17.064054
1.6600003,84,17.069532
-0.53999984,55,17.073156
1.5800002,92,17.082221
1.8600004,64,17.091871
-0.79,80,17.113686
1.5800003,92,17.129444
0.53000116,197,17.138187
1.5200003,98,17.164936
1.8600005,64,17.172373
1.3000002,120,17.175998
-0.5599998,57,17.186567
1.5900002,91,17.188399
1.5800003,92,17.202383
0.690001,181,17.219756
1.1400003,136,17.233913
1.5800003,92,17.235775
1.6900005,81,17.2376
1.5500003,95,17.244584
-1.4399993,145,17.253542
-0.86999977,88,17.273167
1.3200002,118,17.278689
-0.40999988,42,17.310732
1.5600004,94,17.33331
1.4100002,109,17.335133
1.5800002,92,17.336947
-0.9499997,96,17.347618
-0.64,65,17.354626
1.22,128,17.361991
-0.54999983,56,17.374853
1.4499999,105,17.378681
1.44,106,17.378722
1.5800002,92,17.38776
1.3900002,111,17.403615
1.7200004,78,17.41988
1.4100002,109,17.434819
1.7400006,76,17.448982
1.8800005,62,17.461152
1.2900001,121,17.466775
1.8100007,69,17.488506
1.6600006,84,17.492087
1.6200002,88,17.495674
1.6800004,82,17.527244
1.4200002,108,17.990297
1.52,98,17.993924
1.2800002,122,17.995743
1.4799999,102,17.997577
1.4500002,105,18.031429
1.6200002,88,18.031477
1.6600003,84,18.038547
1.7400005,76,18.040365
1.8100004,69,18.049158
1.7300005,77,18.06672
1.1600004,134,18.066755
1.5300001,97,18.073772
1.2300001,127,18.086138
1.8800004,62,18.100072
1.7400004,76,18.100107
1.8800005,62,18.109165
1.8600004,64,18.109203
-1.0099999,102,18.116281
0.13000154,237,18.119998
1.9700005,53,18.129557
1.8500004,65,18.152211
1.7600005,74,18.176855
1.8300004,67,18.190577
1.7300004,77,18.190609
1.9300004,57,18.192493
1.8400004,66,18.196071
1.7700005,73,18.201386
1.2900002,121,18.217188
1.7900004,71,18.233676
1.7900003,71,18.248257
1.7700005,73,18.255451
1.7100005,79,18.255491
1.9200004,58,18.257339
1.2400002,126,18.269729
1.6100003,89,18.273342
1.47,103,18.290864
1.8800004,62,18.303537
1.7500005,75,18.338981
1.5400002,96,18.351668
1.9500005,55,18.355653
1.5800003,92,18.359273
1.1900003,131,18.368556
1.7100004,79,18.391554
1.7600005,74,18.391601
1.4,110,18.393433
1.7100004,79,18.399221
1.5000002,100,18.414897
1.8900005,61,18.41493
1.3600001,114,18.423746
1.6500002,85,18.427313
1.2200003,128,18.429174
1.6200004,88,18.429203
1.9500005,55,18.440104
1.8500005,65,18.474161
1.7700005,73,18.500305
1.8700004,63,18.505565
1.5900004,91,18.52284
1.7100003,79,18.540304
1.6800004,82,18.540341
1.6500003,85,18.543897
1.3900002,111,18.552768
1.0200006,148,18.559761
1.6600003,84,18.567397
-0.73,74,18.572948
1.7100004,79,18.572984
1.8600004,64,18.588952
1.6000003,90,18.590816
1.4100001,109,18.612499
1.8300004,67,18.622108
1.9300003,57,18.627857
1.9500004,55,18.642523
-0.57999986,59,18.655367
1.6100003,89,18.669107
1.1300002,137,18.674313
1.7400005,76,18.693721
1.0300009,147,18.699278
1.7900004,71,18.720615
-0.8199998,83,18.725965
1.8800005,62,18.736448
1.9100003,59,18.73648
1.8800006,62,18.757802
1.29,121,18.764715
1.2700002,123,18.786367
1.8500005,65,18.793485
1.51,99,18.795323
1.7600005,74,18.804174
1.3000003,120,18.811245
1.9700005,53,18.816563
1.1200005,138,18.820131
1.0400002,146,18.839314
1.9200004,58,18.841151
1.5600003,94,18.869235
1.8700006,63,18.87109
1.6300004,87,18.884066
1.45,105,18.884114
1.8600004,64,18.919421
1.5200001,98,18.94033
1.6400002,86,18.94037
0.9000008,160,18.943892
1.7900004,71,18.970016
1.7800006,72,18.970057
1.6100003,89,18.971929
1.5100001,99,18.971959
1.6100001,89,18.977281
1.1300004,137,18.985094
1.8500004,65,18.988832
-0.6299999,64,18.999498
1.4200002,108,19.015581
1.4700001,103,19.054073
1.8100004,69,19.068101
1.7800004,72,19.069918
1.6100003,89,19.101244
1.7700005,73,19.103063
1.7400002,76,19.114395
1.7600005,74,19.11815
1.1400003,136,19.128771
1.6000003,90,19.132332
1.6800003,82,19.146516
1.5500001,95,19.158659
1.46,104,19.158694
0.4000013,210,19.172482
1.7200004,78,19.196782
1.23,127,19.200425
0.89000076,161,19.212163
1.7000005,80,19.217563
1.8300006,67,19.224768
1.5700002,93,19.238821
1.8700004,63,19.244198
1.7000004,80,19.259899
1.1200002,138,19.265111
1.5900003,91,19.26864
1.7900004,71,19.275994
1.6100003,89,19.279572
1.6000003,90,19.295352
-0.64999986,66,19.31667
1.8600006,64,19.328064
1.8300004,67,19.338846
1.52,98,19.338892
1.7700005,73,19.370589
1.3700001,113,19.379268
1.9000003,60,19.384563
1.8100004,69,19.389819
1.4400003,106,19.391644
1.7200004,78,19.400407
1.5100001,99,19.40224
-0.47999987,49,19.404076
1.7500005,75,19.416468
1.0800006,142,19.418334
1.8000004,70,19.423576
1.9100004,59,19.445534
1.3200002,118,19.457934
1.8200004,68,19.461522
1.7500005,75,19.463358
2.0400004,46,19.50017
1.8900005,61,19.502002
1.8100004,69,19.514269
1.8100003,69,19.541238
1.8300004,67,19.544849
1.6900003,81,19.552001
1.9300005,57,19.566155
1.3600001,114,19.582853
1.8200004,68,19.586421
1.47,103,19.593416
1.3000002,120,19.602419
1.7200005,78,19.607743
1.3600003,114,19.614743
1.5700003,93,19.618302
1.2300003,127,19.620135
1.8300005,67,19.627245
1.8500005,65,19.677808
1.6200004,88,19.68329
0.21000135,229,19.692096
1.8200004,68,19.697378
1.45,105,19.700948
1.8900003,61,19.720068
1.7700005,73,19.735747
1.4600002,104,19.735781
