#{"t_start": 1758577206.2161815, "env_id": "None"}
r,l,t
2.18,32,56.11977
2.15,35,56.186281
2.17,33,56.249318
2.16,34,56.315749
2.17,33,56.377422
2.15,35,56.443413
2.18,32,56.500921
2.16,34,56.560753
2.16,34,56.621929
2.16,34,56.685453
2.17,33,56.747819
2.16,34,56.81289
2.17,33,56.876642
2.16,34,56.937008
2.18,32,56.993397
2.18,32,57.04939
2.14,36,57.11546
2.17,33,57.174011
2.17,33,57.233894
2.18,32,57.293321
2.17,33,57.356061
2.18,32,57.416892
2.15,35,57.480498
2.18,32,57.536534
2.14,36,57.60007
2.17,33,57.659105
2.17,33,58.204714
2.18,32,58.261304
2.17,33,58.320106
2.14,36,58.383422
2.18,32,58.439507
2.17,33,58.497408
2.16,34,58.557406
2.17,33,58.614804
2.18,32,58.670596
2.16,34,58.734602
2.15,35,58.801231
2.16,34,58.867443
2.16,34,58.937043
2.18,32,58.997049
2.17,33,59.056529
2.17,33,59.114855
2.17,33,59.185385
2.18,32,59.243479
2.17,33,59.303739
2.17,33,59.363487
2.17,33,59.421185
2.16,34,59.487672
2.18,32,59.551553
2.18,32,59.614388
2.17,33,59.677828
2.16,34,59.741152
2.18,32,59.797548
2.18,32,59.853683
2.17,33,59.911585
2.14,36,59.980337
2.18,32,60.551216
2.12,38,60.623616
2.17,33,60.686771
2.18,32,60.780452
2.18,32,60.846592
2.18,32,60.912634
2.18,32,60.969018
2.17,33,61.030597
2.17,33,61.089434
2.17,33,61.150253
2.18,32,61.207588
2.18,32,61.270236
2.18,32,61.326235
2.17,33,61.384827
2.16,34,61.44714
2.16,34,61.508682
2.18,32,61.568882
2.18,32,61.628471
2.18,32,61.690337
2.16,34,61.752896
2.17,33,61.810722
2.16,34,61.870522
2.18,32,61.928591
2.18,32,61.984996
2.18,32,62.042207
2.18,32,62.100002
2.18,32,62.155906
2.17,33,62.214046
2.17,33,62.276638
2.18,32,62.33552
2.18,32,62.392281
2.17,33,62.450122
2.17,33,62.948864
2.18,32,63.009594
2.18,32,63.068539
2.18,32,63.129366
2.18,32,63.185304
2.18,32,63.241425
2.18,32,63.297602
2.18,32,63.357095
2.18,32,63.415358
2.18,32,63.471628
2.18,32,63.528098
2.14,36,63.591897
2.18,32,63.647763
2.16,34,63.711845
2.17,33,63.773998
2.16,34,63.840746
2.18,32,63.903023
2.14,36,63.966513
2.18,32,64.024215
2.17,33,64.082091
2.18,32,64.139954
2.18,32,64.196287
2.16,34,64.255644
2.16,34,64.31541
2.17,33,64.373909
2.15,35,64.437272
2.18,32,64.493013
2.18,32,64.548903
2.17,33,64.606428
2.16,34,64.666573
2.17,33,64.730987
2.18,32,65.260513
2.18,32,65.317626
2.17,33,65.375569
2.18,32,65.434583
2.18,32,65.493964
2.17,33,65.552891
2.15,35,65.616657
2.18,32,65.673944
2.17,33,65.734107
2.17,33,65.794765
2.17,33,65.853567
2.18,32,65.911954
2.18,32,65.969549
2.18,32,66.025974
2.18,32,66.08199
2.18,32,66.138829
2.18,32,66.196057
2.17,33,66.259924
2.18,32,66.315816
2.18,32,66.375272
2.18,32,66.436773
2.18,32,66.497462
2.18,32,66.558394
2.18,32,66.615842
2.18,32,66.675106
2.18,32,66.732583
2.15,35,66.796062
2.17,33,66.854173
2.18,32,66.911173
2.16,34,66.970971
2.18,32,67.027109
2.17,33,67.73927
2.18,32,67.796888
2.18,32,67.853019
2.18,32,67.910062
2.18,32,67.965932
2.18,32,68.021842
2.17,33,68.079346
2.18,32,68.135159
2.18,32,68.191083
2.18,32,68.246879
2.18,32,68.308288
2.18,32,68.367813
2.18,32,68.425762
2.17,33,68.486254
2.18,32,68.543528
2.18,32,68.603953
2.18,32,68.661016
2.18,32,68.718561
2.18,32,68.777209
2.18,32,68.834309
2.18,32,68.890852
2.18,32,68.947821
2.18,32,69.003996
2.18,32,69.059825
2.18,32,69.118057
2.18,32,69.176069
2.18,32,69.233617
2.18,32,69.291769
2.17,33,69.352257
2.18,32,69.412728
2.17,33,69.472231
2.18,32,69.529685
2.18,32,70.037323
2.18,32,70.095273
2.18,32,70.152397
2.17,33,70.209983
2.18,32,70.26608
2.16,34,70.325575
2.17,33,70.383238
2.18,32,70.444115
2.13,37,70.51094
2.18,32,70.569487
2.18,32,70.627447
2.18,32,70.688094
2.18,32,70.745905
2.17,33,70.804109
2.18,32,70.860152
2.18,32,70.918302
2.18,32,70.978272
2.18,32,71.03727
2.18,32,71.096541
2.18,32,71.154479
2.17,33,71.218043
2.17,33,71.27836
2.18,32,71.334501
2.18,32,71.409378
2.18,32,71.479503
2.17,33,71.54259
2.18,32,71.604959
2.18,32,71.699091
2.17,33,71.765788
2.18,32,71.829374
2.18,32,71.897306
2.18,32,71.962816
2.18,32,72.508162
2.18,32,72.568738
2.18,32,72.633054
2.18,32,72.700948
2.18,32,72.786045
2.18,32,72.850149
2.18,32,72.913957
2.18,32,72.972938
2.18,32,73.032226
2.13,37,73.191467
2.18,32,73.255652
2.18,32,73.318751
2.18,32,73.377636
2.18,32,73.436966
2.18,32,73.497193
2.18,32,73.560866
2.18,32,73.620053
2.18,32,73.680609
2.18,32,73.743009
2.18,32,73.802046
2.18,32,73.864974
2.17,33,73.926121
2.18,32,73.985295
2.18,32,74.046435
2.15,35,74.112136
2.18,32,74.172445
2.18,32,74.233578
2.18,32,74.293137
2.18,32,74.352022
2.16,34,74.414694
2.18,32,74.474072
2.18,32,74.535295
2.18,32,75.109387
2.18,32,75.174648
2.18,32,75.236178
2.18,32,75.297183
2.18,32,75.358186
2.18,32,75.419766
2.18,32,75.480427
2.18,32,75.53984
2.18,32,75.600858
2.18,32,75.670123
2.18,32,75.820593
2.18,32,75.894378
2.18,32,75.966935
2.18,32,76.032404
2.18,32,76.0966
2.18,32,76.155343
2.18,32,76.215395
2.18,32,76.274331
2.18,32,76.33474
2.18,32,76.396134
2.18,32,76.455485
2.18,32,76.517086
2.18,32,76.574476
2.18,32,76.633406
2.18,32,76.698159
2.18,32,76.765918
2.18,32,76.826393
2.18,32,76.89266
2.18,32,76.958851
2.18,32,77.021943
2.18,32,77.079957
2.18,32,77.139347
2.18,32,77.647507
2.18,32,77.70685
2.18,32,77.76655
2.18,32,77.827863
2.18,32,77.88527
2.18,32,77.947306
2.18,32,78.014008
2.18,32,78.075824
2.17,33,78.134909
2.17,33,78.193072
2.18,32,78.250335
2.17,33,78.309071
2.18,32,78.36671
2.18,32,78.424318
2.17,33,78.484555
2.18,32,78.544356
2.18,32,78.602623
2.18,32,78.660519
2.18,32,78.719738
2.18,32,78.78081
2.17,33,78.843157
2.18,32,78.901115
2.18,32,78.957209
2.18,32,79.013561
2.18,32,79.07199
2.18,32,79.128186
2.18,32,79.184791
2.18,32,79.242352
2.18,32,79.298846
2.18,32,79.355127
2.18,32,79.41234
2.18,32,79.920188
2.18,32,79.981305
2.18,32,80.039779
2.18,32,80.100142
2.18,32,80.159171
2.17,33,80.219124
2.18,32,80.277208
2.18,32,80.335596
2.18,32,80.393293
2.18,32,80.450044
2.18,32,80.507621
2.18,32,80.564706
2.17,33,80.622756
2.18,32,80.680418
2.18,32,80.763962
2.18,32,80.960466
2.18,32,81.021408
2.18,32,81.081789
2.18,32,81.145269
2.18,32,81.207554
2.18,32,81.269672
2.17,33,81.333893
2.18,32,81.395337
2.18,32,81.454983
2.18,32,81.515573
2.18,32,81.577983
2.18,32,81.636867
2.18,32,81.696983
2.18,32,81.757555
2.17,33,81.820203
2.18,32,81.881826
2.17,33,81.944352
2.18,32,82.485687
2.18,32,82.546392
2.18,32,82.605038
2.18,32,82.665114
2.18,32,82.72657
2.18,32,82.787249
2.18,32,82.846943
2.18,32,82.907309
2.18,32,82.968541
2.18,32,83.030436
2.18,32,83.095514
2.17,33,83.157683
2.18,32,83.218409
2.17,33,83.286028
2.18,32,83.348573
2.16,34,83.414812
2.18,32,83.475457
2.18,32,83.53576
2.18,32,83.596734
2.18,32,83.655982
2.18,32,83.717637
2.18,32,83.831685
2.18,32,83.947043
2.18,32,84.004753
2.18,32,84.062967
2.18,32,84.12403
2.18,32,84.185164
2.17,33,84.247858
2.18,32,84.310136
2.18,32,84.370832
2.18,32,84.43025
2.18,32,84.487791
2.18,32,85.10779
2.18,32,85.168469
2.18,32,85.224858
2.17,33,85.28269
2.18,32,85.341389
2.18,32,85.399696
2.18,32,85.456791
2.18,32,85.513602
2.18,32,85.572674
2.18,32,85.632162
2.18,32,85.691318
2.18,32,85.835063
2.18,32,85.892806
2.18,32,85.960692
2.18,32,86.01843
2.18,32,86.075105
2.18,32,86.131901
2.18,32,86.192596
2.18,32,86.253118
