#{"t_start": 1758581180.9858956, "env_id": "None"}
r,l,t
-1.11,62,99.445822
-0.63,14,99.472563
-0.56,7,99.485559
-0.52,3,99.490759
-0.6,11,99.511032
-0.58,9,99.527775
-0.17,18,99.563818
-0.52,3,99.569953
-1.1,61,99.6984
-0.54,55,99.831557
-0.05,6,99.842952
-0.12,13,99.868883
-0.81,32,99.934024
-0.85,36,100.002709
-0.65,16,100.033648
-0.62,13,100.057866
-0.55,6,100.06904
-0.64,15,100.096427
-0.86,37,100.167292
-1.98,149,100.445759
-0.65,16,100.475833
-0.63,14,100.500798
-0.66,17,100.531175
-0.99,50,100.620409
-0.53,4,100.627628
-0.62,13,100.652703
-1.0,51,100.748591
-0.11,12,100.771206
-0.5,1,100.773086
-0.64,15,100.801658
-0.61,12,100.827092
-0.52,3,100.833391
-0.91,42,100.910717
-0.05,6,100.921678
-0.57,8,100.935681
-1.37,88,101.100907
-1.44,95,101.293029
-0.99,50,101.381821
-0.59,10,101.399527
-0.6,11,101.418963
-0.72,23,101.46027
-1.06,57,101.566499
-0.13,14,101.594836
-0.55,6,101.607898
-0.82,33,101.671148
-0.56,7,101.685078
-0.53,4,101.692578
-1.45,146,101.968076
-0.56,7,101.981389
-0.2,21,102.02076
-0.79,30,102.076051
-0.59,10,102.094312
-0.68,19,102.129927
-0.31,32,102.191405
-0.71,22,102.23378
-0.66,17,102.266138
-0.61,12,102.290962
-0.15,16,102.325211
-0.68,19,102.374284
-0.53,4,102.383481
-0.66,17,102.422542
-0.85,86,103.272569
-0.78,29,103.325313
-0.51,2,103.329352
-0.57,8,103.34426
-0.69,20,103.384265
-0.6,11,103.404162
-0.49,50,103.498763
-0.59,10,103.517551
-0.56,7,103.530643
-0.73,24,103.575307
-0.62,13,103.600941
-0.52,3,103.606252
-0.57,8,103.621682
-0.25,26,103.670429
-0.52,53,103.767386
-0.65,16,103.797324
-0.51,52,103.899209
-0.53,4,103.907379
-0.61,62,104.031151
-1.08,59,104.235687
-0.92,43,104.3244
-0.6,11,104.345209
-0.54,5,104.3551
-0.56,7,104.368979
-0.72,23,104.410751
-0.52,3,104.417418
-0.6,11,104.440249
-0.8,31,104.507761
-0.52,53,104.62635
-0.11,12,104.652038
-0.17,18,104.694588
-0.27,28,104.842329
-0.24,25,104.895741
-0.56,7,104.91111
-0.64,15,104.942549
-0.57,8,104.959845
-0.76,27,105.037761
-0.52,53,105.141751
-0.68,19,105.180939
-0.7,21,105.228325
-0.65,16,105.261704
-0.52,3,105.269248
-0.57,8,105.28651
-0.11,12,105.315987
-0.81,32,105.387691
-0.5,1,105.389534
-0.6,11,105.410916
-1.27,78,105.558117
-0.74,25,105.605764
-0.68,19,105.641088
-0.61,12,105.664076
-0.67,18,105.697875
-0.64,15,105.725248
-0.58,9,105.742217
-1.24,75,105.879803
-0.75,26,105.928229
-0.68,19,105.96364
-0.6,11,105.984184
-0.53,4,105.991577
-0.65,16,106.021264
-0.09,10,106.040209
-0.24,25,106.093478
-0.61,12,106.117467
-0.54,5,106.126629
-0.53,4,106.134229
-0.44,45,106.219004
-0.7,21,106.260674
-0.56,7,106.274756
-0.69,20,106.313101
-0.74,25,106.360543
-0.53,4,106.36849
-0.63,14,106.396336
-0.59,10,106.41594
-0.57,8,106.432311
-1.06,57,106.537615
-0.54,5,106.54672
-0.59,10,106.566045
-0.57,8,106.581063
-0.59,10,106.599841
-0.66,17,106.631645
-1.16,67,106.755471
-0.97,48,106.844352
-0.02,3,106.850082
-0.56,7,106.863284
-0.78,29,106.916774
-0.61,12,106.938768
-0.56,7,106.951473
-0.62,63,107.066109
-0.61,12,107.089242
-0.62,63,107.222147
-0.61,12,107.246874
-0.65,16,107.282397
-0.82,33,107.353085
-0.75,26,107.404743
-0.78,29,107.46287
-0.61,12,107.487297
-0.77,28,108.128386
-0.58,9,108.146118
-0.3,31,108.209595
-1.02,53,108.308557
-0.67,18,108.343223
-0.62,13,108.368401
-0.52,3,108.373982
-0.56,7,108.386697
-0.64,15,108.415173
-0.59,10,108.433073
-0.55,6,108.444301
-0.67,18,108.476688
-0.86,37,108.55532
-0.51,2,108.559213
-0.81,32,108.625765
-0.03,4,108.634373
-0.5,1,108.636572
-0.62,13,108.663038
-0.59,10,108.683765
-0.76,27,108.745049
